Misterios,Fedex,Calzada Misterios Núm. 382,Progreso y Robles Dominguez,Col. Industrial,México,Distrito Federal,07800,09:00,19:30,,,08:00,15:00,,,,5555177213,,,,19.4687955,-99.1251054,Fedex,MUGN
Granjas Plutarco,Fedex,Av. Plutarco Elias Calles 325,Brea y Eje 3,Col. Granjas Mexico,México,Distrito Federal,08400,09:00,18:00,,,09:00,15:00,,,,5556493244,,,,19.3987008,-99.1130892,Fedex,CZACA
Agricola Oriental,Fedex,Sur 8 Núm. 203,Sur 4 y Sur 12,Agricola Oriental,México,Distrito Federal,08500,09:00,19:00,,,09:00,14:00,,,,5536029830,,,,19.401184,-99.0778385,Fedex,AZPO
Iztapalapa granjas,Fedex,Av.5 Núm. 329,Calle 10 y Calle 11,Granjas San Antonio,México,Distrito Federal,09070,09:00,18:00,,,09:00,14:00,,,,5556971173,,,,19.3694718,-99.1081109,Fedex,CZAU
Iztapalapa la Viga,Fedex,Calzada La Viga Núm. 850,Atanacio Zarabia y Rodolfo Usigli,Heroes de Churubusco,México,Distrito Federal,09090,09:00,19:00,,,09:00,14:00,,,,5555816705,,,,19.3624841,-99.1219403,Fedex,CZACV
Rojo Gomez,Fedex,Av. Rojo Gómez Mzna. 71 Núm. 720,Batalla de Tunas Blancas,Leyes de Reforma,Iztapalapa,Distrito Federal,09310,09:00,18:00,,,09:00,14:00,,,,5556946575,,,,19.3811403,-99.0767174,Fedex,CZACG
La Cascada,Fedex,Av. Eje 7 Sur (Municipio libre) Núm. 83; Loc. 7,FedEx World Service Center,Banjidal,Iztapalapa,Mexico,09450,09:00,19:00,,,09:00,14:00,,,,5525956705,,,,19.3668332,-99.1364954,Fedex,AZPY
Iztapalapa La Hera,Fedex,Calzada Ermita Iztapalapa Núm. 2600,Amado Nervo y Juan de Dios Peza,Col. La Hera,México,Distrito Federal,09720,10:00,18:00,,,10:00,14:00,,,,5556939795,,,,19.341972,-99.0553552,Fedex,CZAV
Tlahuac,Fedex,Avenida  Tlahuac Núm. 4746,Av Tlahuac y la Once,Granjas Estrella,México,Distrito Federal,09880,09:00,19:00,,,09:00,15:00,,,,5554261546,,,,19.3207384,-99.084425,Fedex,CZAG
Lomas de Chapultepec,Fedex,Vosgos Núm. 101,Esq. Montes Urales y Pedregal,Lomas de Chapultepec,México,Distrito Federal,11000,09:00,19:00,,,09:00,15:00,,,,5552027180,,,,19.4234385,-99.2047803,Fedex,PPEN
Legaria,Fedex,Legaria Núm. 31-A,Calzada Legaria y Lago Esclavos,Col. Torre Blanca,México,Distrito Federal,11280,09:00,19:00,,,09:00,14:00,,,,5553867066,,,,19.4577436,-99.1925607,Fedex,MUGCG
Marina Nacional,Fedex,Marina Nacional Núm. 330-G,Lago Zirahuen y Laguna Mayran,Col. Anahuac,México,Distrito Federal,11320,09:00,19:00,,,09:00,13:00,,,,5552604479,,,,19.4398518,-99.1747978,Fedex,PPEL
Mariano Escobedo,Fedex,Gral Mariano Escobedo Núm. 61,Mar Adriatico y Carrillo Puerto,Col. Popotla,México,Distrito Federal,11400,09:00,19:00,,,09:00,15:00,,,,5553865025,,,,19.4521591,-99.1818881,Fedex,PPEM
Polanco,Fedex,Miguel Cervantes Saavedra 454 Loc. B,Presa Angostura y Presa Oviachic,Col. Irrigacion,Miguel Hidalgo,Distrito Federal,11500,09:00,19:00,,,10:00,14:00,,,,5553958525,,,,19.4401381,-99.207564,Fedex,PPEF
Plaza Polanco,Fedex,Jaime Balmes 11; Edif. E; # 60,Plaza Polanco,Los Morales,México,Distrito Federal,11510,09:00,18:00,,,09:00,14:00,,,,5555570284,,,,19.4377538,-99.2105168,Fedex,MEXG
SNAP Plaza Polanco,Fedex,Jaime Balmes 11; Edif. E; #60,Plaza Polanco,Los Morales,Mexico,Distrito Federal,11510,09:00,18:00,,,09:00,14:00,,,,5555570284,,,,19.4377538,-99.2105168,Fedex,SNAPM
Newton,Fedex,Newton # 257 Local 1,Esquina con Taine,Chapultepec Morales,México,Distrito Federal,11560,09:00,18:00,,,09:00,14:00,,,,18009001100,,,,19.4363292,-99.1849769,Fedex,MEXN
SNAP Newton,Fedex,Newton #257 Local 1,Esquina con Taine,Chapultepec Morales,Mexico,Distrito Federal,11560,09:00,18:00,,,09:00,14:00,,,,18009001100,,,,19.4363292,-99.1849769,Fedex,SNAPX
Mazaryk,Fedex,Hegel Núm. 406,Esquina Mazaryk,Chapultepec Morales,México,Distrito Federal,11560,09:00,21:00,,,09:00,14:00,,,,5555316488,,,,19.4312328,-99.187946,Fedex,PPEK
Anzures,Fedex,Victor Hugo 59,Esquina Leibnitz,Veronica Anzures,Mexico,Distrito Federal,11590,09:00,18:00,,,09:00,14:00,,,,5552031172,,,,19.4275023,-99.1775524,Fedex,MEXE
Escandón,Fedex,Av. Benjamin Franklin Núm. 228; Col. Escandón,FedEx World Service Center,Escandón,Miguel Hidalgo,Distrito Federal,11800,09:00,19:00,,,09:00,14:00,,,,5526140133,,,,19.4037884,-99.1725732,Fedex,NLUS
Patriotismo,Fedex,Av Patriotismo 204-C,Esq 11 de Abril,Col. Escandon,México,Distrito Federal,11800,09:00,21:00,,,09:00,15:00,,,,5552734177,,,,19.3973355,-99.1810425,Fedex,CZAQ
San Fernando,Fedex,Av.San Fernando Núm. 87,Cjon de Zapote y John Kennedy,Col. Peña Pobre,México,Distrito Federal,14050,09:00,19:00,,,09:00,14:00,,,,5556065377,,,,19.2909779,-99.163018,Fedex,CZAO
Miramontes,Fedex,Canal De Miramontes Núm. 3193,Monza y Cannes,Col. Residencial Aco,México,Distrito Federal,14300,09:00,18:00,,,09:00,13:00,,,,5556797643,,,,19.2994996,-99.1253102,Fedex,CZACM
Agua Caliente,Fedex,Francisco Morazan Núm. 350 B,Calle 65 y Calle 63,Col. Puebla,México,Distrito Federal,15020,09:00,19:00,,,09:00,14:00,,,,5557001365,,,,19.4093957,-99.0843382,Fedex,AZPP
TAPO ll 24 horas abierto,Fedex,Calz Ignacio Zaragoza Núm. 200 - Estacionamiento,Calzada I. Zaragoza y E. Molina,Col. 7 De Julio,México,Distrito Federal,15290,07:00,23:59,,,07:00,23:59,,,,5554910398,,,,19.4279922,-99.1112192,Fedex,CZAK
Consulado,Fedex,Av Rio Consulado Núm. 2355,Florines y Gran Canal,Amp Simon Bolivar,México,Distrito Federal,15420,09:00,19:00,,,09:00,14:00,,,,5557511173,,,,19.4484231,-99.1005009,Fedex,CZAY
Zaragoza Moctezuma,Fedex,Calzada  Ignacio Zaragoza Núm. 84,Miguel Jacintes y Juan A Gutierrez,Col. Moctezuma 1sec,México,Distrito Federal,15500,09:00,19:00,,,09:00,14:30,,,,5557846845,,,,19.4256673,-99.106384,Fedex,CZAB
Peñon de los baños,Fedex,Francisco Sarabia #17,Av Texcoco y Terminal aerea,Peñón de los baños,México,Distrito Federal,15620,09:00,19:00,,,09:00,14:00,,,,18009001100,,,,19.4456409,-99.0765971,Fedex,MEXO
Xochimilco,Fedex,Guadalupe I. Ramirez Núm. 6314,Tabachines y El Embarcadero,Barrio De San Marcos,México,Distrito Federal,16038,09:00,18:00,,,09:00,13:00,,,,5556765596,,,,19.2654057,-99.1101721,Fedex,CZACX
Universidad,Fedex,Av.  Universidad Núm. 120,Circunvalacion Norte y Asia,Col. San Cayetano,Aguascalientes,Aguascalientes,20010,10:00,19:00,,,09:00,14:00,,,,4499964036,,,,21.8982362,-102.3054442,Fedex,AGUE
Del Valle,Fedex,Ave. Convención Poniente  114-A,Adolfo Lopez Mateos,Col. Del Valle,Aguascalientes,Aguascalientes,20080,10:00,15:00,,,09:00,14:00,,,,4499159258,,,,21.8753358,-102.3124203,Fedex,AGUD
Aguascalientes,Fedex,Av. Convención Pte. #1132,Edificio LaFayett; l,Col. Barranca de Gpe,Aguascalientes,Aguascalientes,20210,09:00,19:00,,,,,,,,18000033339,,,,21.8706077,-102.3111195,Fedex,AGUB
Ciudad Industrial,Fedex,Julio Diaz Torre Núm. 121,Antonio Gutierrez y Carolina Villanueva,Ciudad Industrial,Aguascalientes,Aguascalientes,20290,09:00,20:00,,,10:00,14:00,,,,4499712080,,,,21.8382565,-102.280727,Fedex,AGUC
Auditorio,Fedex,Blvd Agua Caliente Núm. 4087-1,Azucenas y Margaritas,Fracc. Del Prado,Tijuana,Baja California Norte,22015,09:00,18:00,,,09:00,14:00,,,,6646089786,,,,32.5093371,-116.9890454,Fedex,TIJCD
Tijuana,Fedex,Blvd. Manuel J. Clouthier Núm. 5561; local C-64,Gato Bronco y Av. Monte Jaraguay,Lago de los Buenos,Tijuana,Baja California Norte,22550,09:00,14:00,,,09:00,14:00,,,,6646272002,,,,32.5005553,-116.9206721,Fedex,TIJP
