Iztapalapa la Viga,Fedex,Calzada La Viga #850,Atanacio Zarabia y Rodolfo Usigli,Heroes de Churubusco,México,Distrito Federal,09090,09:00,19:00,,,09:00,14:00,,,,5555816705,,,,19.3624841,-99.1219403,Fedex,CZACV
Rojo Gomez,Fedex,Av. Rojo Gómez Mzna. 71 #720,Batalla de Tunas Blancas,Leyes de Reforma,Iztapalapa,Distrito Federal,09310,09:00,18:00,,,09:00,14:00,,,,5556946575,,,,19.3811403,-99.0767174,Fedex,CZACG
La Cascada,Fedex,Av. Eje 7 Sur #83; Local 7,FedEx World Service Center,Banjidal,Iztapalapa,Mexico,09450,09:00,19:00,,,09:00,14:00,,,,5525956705,,,,19.3668332,-99.1364954,Fedex,AZPY
Iztapalapa La Hera,Fedex,Calzada Ermita Iztapalapa #2600,Amado Nervo y Juan de Dios Peza,La Hera,México,Distrito Federal,09720,10:00,18:00,,,10:00,14:00,,,,5556939795,,,,19.341972,-99.0553552,Fedex,CZAV
Tlahuac,Fedex,Avenida  Tlahuac #4746,Av Tlahuac y la Once,Granjas Estrella,México,Distrito Federal,09880,09:00,19:00,,,09:00,15:00,,,,5554261546,,,,19.3207384,-99.084425,Fedex,CZAG
Lomas de Chapultepec,Fedex,Vosgos #101,Esq. Montes Urales y Pedregal,Lomas de Chapultepec,México,Distrito Federal,11000,09:00,19:00,,,09:00,15:00,,,,5552027180,,,,19.4234385,-99.2047803,Fedex,PPEN
Legaria,Fedex,Legaria #31-A,Calzada Legaria y Lago Esclavos,Torre Blanca,México,Distrito Federal,11280,09:00,19:00,,,09:00,14:00,,,,5553867066,,,,19.4577436,-99.1925607,Fedex,MUGCG
Marina Nacional,Fedex,Marina Nacional #330-G,Lago Zirahuen y Laguna Mayran,Anahuac,México,Distrito Federal,11320,09:00,19:00,,,09:00,13:00,,,,5552604479,,,,19.4398518,-99.1747978,Fedex,PPEL
Mariano Escobedo,Fedex,Gral Mariano Escobedo #61,Mar Adriatico y Carrillo Puerto,Popotla,México,Distrito Federal,11400,09:00,19:00,,,09:00,15:00,,,,5553865025,,,,19.4521591,-99.1818881,Fedex,PPEM
Polanco,Fedex,Miguel Cervantes S. #454 Local B,Presa Angostura y Presa Oviachic,Irrigacion,Miguel Hidalgo,Distrito Federal,11500,09:00,19:00,,,10:00,14:00,,,,5553958525,,,,19.4401381,-99.207564,Fedex,PPEF
Plaza Polanco,Fedex,Jaime Balmes 11; Edif. E; # 60,Plaza Polanco,Los Morales,México,Distrito Federal,11510,09:00,18:00,,,09:00,14:00,,,,5555570284,,,,19.4377538,-99.2105168,Fedex,MEXG
SNAP Plaza Polanco,Fedex,Jaime Balmes 11; Edif. E; #60,Plaza Polanco,Los Morales,Mexico,Distrito Federal,11510,09:00,18:00,,,09:00,14:00,,,,5555570284,,,,19.4377538,-99.2105168,Fedex,SNAPM
Newton,Fedex,Newton # 257 Local 1,Esquina con Taine,Chapultepec Morales,México,Distrito Federal,11560,09:00,18:00,,,09:00,14:00,,,,18009001100,,,,19.4363292,-99.1849769,Fedex,MEXN
SNAP Newton,Fedex,Newton #257 Local 1,Esquina con Taine,Chapultepec Morales,Mexico,Distrito Federal,11560,09:00,18:00,,,09:00,14:00,,,,18009001100,,,,19.4363292,-99.1849769,Fedex,SNAPX
Mazaryk,Fedex,Hegel #406,Esquina Mazaryk,Chapultepec Morales,México,Distrito Federal,11560,09:00,21:00,,,09:00,14:00,,,,5555316488,,,,19.4312328,-99.187946,Fedex,PPEK
Anzures,Fedex,Victor Hugo 59,Esquina Leibnitz,Veronica Anzures,Mexico,Distrito Federal,11590,09:00,18:00,,,09:00,14:00,,,,5552031172,,,,19.4275023,-99.1775524,Fedex,MEXE
Escandón,Fedex,Av. Benjamin Franklin #228,FedEx World Service Center,Escandón,Miguel Hidalgo,Distrito Federal,11800,09:00,19:00,,,09:00,14:00,,,,5526140133,,,,19.4037884,-99.1725732,Fedex,NLUS
Patriotismo,Fedex,Av Patriotismo 204-C,Esq 11 de Abril,Escandon,México,Distrito Federal,11800,09:00,21:00,,,09:00,15:00,,,,5552734177,,,,19.3973355,-99.1810425,Fedex,CZAQ
San Fernando,Fedex,Av.San Fernando #87,Cjon de Zapote y John Kennedy,Peña Pobre,México,Distrito Federal,14050,09:00,19:00,,,09:00,14:00,,,,5556065377,,,,19.2909779,-99.163018,Fedex,CZAO
Miramontes,Fedex,Canal De Miramontes #3193,Monza y Cannes,Residencial Aco,México,Distrito Federal,14300,09:00,18:00,,,09:00,13:00,,,,5556797643,,,,19.2994996,-99.1253102,Fedex,CZACM
Agua Caliente,Fedex,Francisco Morazan #350 B,Calle 65 y Calle 63,Puebla,México,Distrito Federal,15020,09:00,19:00,,,09:00,14:00,,,,5557001365,,,,19.4093957,-99.0843382,Fedex,AZPP
TAPO ll 24 horas abierto,Fedex,Calz Ignacio Zaragoza #200,E. Molina; Estacionamiento,7 De Julio,México,Distrito Federal,15290,07:00,23:59,,,07:00,23:59,,,,5554910398,,,,19.4279922,-99.1112192,Fedex,CZAK
Consulado,Fedex,Av Rio Consulado #2355,Florines y Gran Canal,Amp Simon Bolivar,México,Distrito Federal,15420,09:00,19:00,,,09:00,14:00,,,,5557511173,,,,19.4484231,-99.1005009,Fedex,CZAY
Zaragoza Moctezuma,Fedex,Calzada  Ignacio Zaragoza #84,Miguel Jacintes y Juan A Gutierrez,Moctezuma 1sec,México,Distrito Federal,15500,09:00,19:00,,,09:00,14:30,,,,5557846845,,,,19.4256673,-99.106384,Fedex,CZAB
Peñon de los baños,Fedex,Francisco Sarabia #17,Av Texcoco y Terminal aerea,Peñón de los baños,México,Distrito Federal,15620,09:00,19:00,,,09:00,14:00,,,,18009001100,,,,19.4456409,-99.0765971,Fedex,MEXO
Xochimilco,Fedex,Guadalupe I. Ramirez #6314,Tabachines y El Embarcadero,Barrio De San Marcos,México,Distrito Federal,16038,09:00,18:00,,,09:00,13:00,,,,5556765596,,,,19.2654057,-99.1101721,Fedex,CZACX
Universidad,Fedex,Av.  Universidad #120,Circunvalacion Norte y Asia,San Cayetano,Aguascalientes,Aguascalientes,20010,10:00,19:00,,,09:00,14:00,,,,4499964036,,,,21.8982362,-102.3054442,Fedex,AGUE
Del Valle,Fedex,Ave. Convención Poniente  114-A,Adolfo Lopez Mateos,Del Valle,Aguascalientes,Aguascalientes,20080,10:00,15:00,,,09:00,14:00,,,,4499159258,,,,21.8753358,-102.3124203,Fedex,AGUD
Aguascalientes,Fedex,Av. Convención Pte. #1132,Edificio LaFayett; l,Barranca de Gpe,Aguascalientes,Aguascalientes,20210,09:00,19:00,,,,,,,,18000033339,,,,21.8706077,-102.3111195,Fedex,AGUB
Ciudad Industrial,Fedex,Julio Diaz Torre #121,A. Gutierrez y Carolina Villanueva,Ciudad Industrial,Aguascalientes,Aguascalientes,20290,09:00,20:00,,,10:00,14:00,,,,4499712080,,,,21.8382565,-102.280727,Fedex,AGUC
Auditorio,Fedex,Blvd Agua Caliente #4087-1,Azucenas y Margaritas,Fracc. Del Prado,Tijuana,Baja California Norte,22015,09:00,18:00,,,09:00,14:00,,,,6646089786,,,,32.5093371,-116.9890454,Fedex,TIJCD
Tijuana,Fedex,Blvd Manuel J Clouthier #5561 C-64,Gato Bronco y Av. Monte Jaraguay,Lago de los Buenos,Tijuana,Baja California Norte,22550,09:00,14:00,,,09:00,14:00,,,,6646272002,,,,32.5005553,-116.9206721,Fedex,TIJP
Los Cabos San Jose,Fedex,Carretera Transpeninsular #17,Plaza las Palmas,Magisterial,San Jose Del Cabo,Baja California Sur,23430,09:00,15:00,,,09:00,14:00,,,,6241052510,,,,23.0881999,-109.7071999,Fedex,SJDB
Escarcega,Fedex,Av. Justo Sierra Mendez #50,Carretera Federal A Villahermosa,Revolucion,Campeche,Campeche,24040,09:00,17:00,,,09:00,14:00,,,,9828242084,,,,19.8421093,-90.5448404,Fedex,CPEC
Campeche Terminal,Fedex,Patricio Trueba De Regil #237,Casa de Justicia y Lopez Portillo,Las Flores,San Francisco,Campeche,24097,08:00,20:00,,,09:00,14:00,,,,9818133799,,,,19.8233585,-90.5321932,Fedex,CPEB
Ciudad del Carmen Central,Fedex,Calle 25 #126,Calle 40 y 42,Tacubaya,Ciudad del Carmen,Campeche,24180,09:00,19:00,,,09:00,14:00,,,,9383840706,,,,18.6405965,-91.8263572,Fedex,CMEB
Ciudad del Carmen Terminal,Fedex,Av. Luis Donaldo Colosio #S/N,Av. 20 de Nov. y Fco. Villa,Francisco I Madero,Ciudad del Carmen,Campeche,24180,09:00,14:00,,,09:00,14:00,,,,9383824875,,,,18.6405502,-91.826367,Fedex,CMEC
Ramos Arispe,Fedex,Carretera Saltillo/Mty Km 14.7,Cerca Aeropuerto,Centro,Saltillo,Coahuila,25060,09:00,18:00,,,09:00,12:00,,,,8448662408,,,,25.4544211,-101.0292474,Fedex,SLWB
Saltillo Centro,Fedex,Blvd. Venustiano Carranza #2665,FedEx World Service Center,Jardines del Valle,Saltillo,Coahuila,25240,09:00,13:00,,,09:00,13:00,,,,8444154347,,,,25.4556374,-100.9854196,Fedex,SLWE
Monclova,Fedex,Av. De la Fuente #221,Gral. Bravo y Ecuado,Fracc. Carranza,Monclova,Coahuila,25760,09:00,18:30,,,09:00,13:00,,,,8666315466,,,,26.9044401,-101.4276889,Fedex,LOVB
Independencia,Fedex,Independencia  #768 Oriente,Eugenio Aguirre y Lerdo de Tejada,Centro Torreon,Torreón,Coahuila,27000,09:00,19:00,,,09:00,14:00,,,,8717185097,,,,25.5550566,-103.4395838,Fedex,TRCB
Paseo De La Rosita,Fedex,Paseo De La Rosita #203 Loc-3,Durazno y Paseo de la Diligencia,Campestre La Rosita,Torreón,Coahuila,27250,09:00,14:00,,,09:00,14:00,,,,8717208550,,,,25.5322304,-103.4155644,Fedex,TRCC
Colima,Fedex,Av. San Fernando #548-4,Av. Camino Real y Av. Sn Fernando,Centro,Colima,Colima,28000,09:00,19:00,,,09:00,14:00,,,,3123307991,,,,19.2448995,-103.7133202,Fedex,CLQB
Manzanillo,Fedex,Miguel De La Madrid Km 3.5 #815,Valeria Reyes Lizarde y Marlica,Fracc. Playa Azul,Manzanillo,Colima,28259,09:00,19:00,,,09:00,14:00,,,,3143324589,,,,19.0551821,-104.3007495,Fedex,ZLOB
Centro,Fedex,1A Norte Poniente #274-B,Entre 1 y 2 poniente,Centro,Tuxtla Gutiérrez,Chiapas,29000,09:00,14:00,,,09:00,14:00,,,,9616132699,,,,16.754815,-93.1174612,Fedex,TGZD
Tuxtla Sur,Fedex,9A Sur Poniente #514,Esquina 4 poniente,Centro,Tuxtla Gutiérrez,Chiapas,29000,09:00,14:00,,,09:00,14:00,,,,9616136733,,,,16.7468728,-93.1211213,Fedex,TGZC
Tuxtla Norte,Fedex,Sexta  Poniente Norte #618,FedEx World Service Center,Centro,Tuxtla Gutiérrez,Chiapas,29000,09:00,19:00,,,09:00,14:00,,,,9616147875,,,,16.7593875,-93.120308,Fedex,TGZB
Nueva Terminal Tuxtla,Fedex,Blvd Antonio Pariente Alga #S/N,5 Norte y Blvd Belisario Dominguez,Cafetales,Tuxtla Gutiérrez,Chiapas,29030,09:00,15:00,,,09:00,14:00,,,,9611251580,,,,16.7609292,-93.1383346,Fedex,TGZF
Tuxtla Oriente,Fedex,Blvd. Angel Albino Corzo #894,Victorico Grajales y Santa María,Bienestar Social,Tuxtla Gutiérrez,Chiapas,29077,09:00,14:00,,,09:00,14:00,,,,9616124409,,,,16.7489868,-93.0917231,Fedex,TGZE
Plan de Ayala,Fedex,Calzada Guerrero #1025,Frente a Transportes Grijalva,Plan De Ayala,Tuxtla Gutiérrez,Chiapas,29110,09:00,15:00,,,09:00,14:00,,,,9616121306,,,,16.7661807,-93.1765783,Fedex,TGZJ
San Cristobal,Fedex,Av. Insurgentes S/N;  OCC,Interior Termnal Autobuses OCC,Santa Lucia,San Cristobal Casas,Chiapas,29250,09:00,19:00,,,09:00,14:00,,,,9676783256,,,,16.7297661,-92.6366436,Fedex,SZTB
Ocosingo,Fedex,Carretera Federal Poniente # 165,Frente a terminal de autobuses OCC,Barrio Lindavista,Ocosingo,Chiapas,29950,09:00,15:00,,,09:00,14:00,,,,9196732235,,,,16.9095988,-92.0997994,Fedex,TGZCO
Palenque,Fedex,Carr Pal-Ocosingo Esq Av Juarez,Jorge de la Vega E Idalio Huerta,Centro,Palenque,Chiapas,29960,09:00,19:00,,,09:00,14:00,,,,9163454800,,,,17.5079551,-91.9898504,Fedex,VSAQ
Comitan,Fedex,3 Calle Norte Poniente #50,Esq 3ra Avenida Poniente Norte,Barrio de Guadalupe,Comitan De Dominguez,Chiapas,30069,09:00,14:00,,,09:00,14:00,,,,9636367382,,,,16.2541451,-92.1467851,Fedex,CJTB
Cintalapa,Fedex,Carretera  Panamericana Km 1002,Con 2A Oriente Sur,Seguro Social,Cintalapa,Chiapas,30400,09:00,14:00,,,09:00,14:00,,,,9686845080,,,,16.6889867,-93.7212503,Fedex,TGZCC
Arriaga,Fedex,Av. Quinta Oriente #525,Con Carretera Panamericana,Centro Arriaga,Arriaga,Chiapas,30450,09:00,14:00,,,09:00,14:00,,,,9666622099,,,,16.2339257,-93.8963115,Fedex,TGZCR
Tonalá,Fedex,12 de Octubre S/N,Entre Av. Hidalgo y Penitenciaría,Centro,Tonala,Chiapas,30500,09:00,19:00,,,09:00,15:00,,,,9666634217,,,,16.0929135,-93.758436,Fedex,TAPD
Huixtla,Fedex,Central Norte #64,Negete Pte y Fco Zarco,Centro,Huixtla,Chiapas,30640,09:00,19:00,,,09:00,14:00,,,,9646421058,,,,15.1434607,-92.463281,Fedex,TAPB
